year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany,mean_income,median_income,germany_median,distance_internal,dist_increased_5y,dist_to_germany
1995,Berlin,276583,1770346,3036,13264,118.4,0.3703,0,NA,NA,NA,NA,NA,NA
1996,Berlin,279619,1783610,3946,20179,110.62,0.3703,0,NA,NA,NA,NA,NA,NA
1997,Berlin,283565,1803789,5232,30310,109.92,0.3703,0,NA,NA,NA,NA,NA,NA
1998,Berlin,288797,1834099,3759,15520,110.56,0.3703,0,NA,NA,NA,NA,NA,NA
1999,Berlin,292556,1849619,3980,10355,100.49,0.3703,0,NA,NA,NA,NA,NA,NA
2000,Berlin,296536,1859974,3080,7280,100,0.3703,0,21000,17400,15339,1.206896551724138,NA,1.1343633874437709
2001,Berlin,299616,1867254,2734,5918,95.03,0.3703,0,21000,17400,19900,1.206896551724138,NA,0.8743718592964824
2002,Berlin,302350,1873172,2502,4396,90.51,0.3703,0,21300,17400,19966.666666666668,1.2241379310344829,NA,0.8714524207011686
2003,Berlin,304852,1877568,1918,3153,86.22,0.3703,0,21600,17400,20033.333333333332,1.2413793103448276,NA,0.8685524126455907
2004,Berlin,306770,1880721,2408,3380,80.31,0.3703,0,21900,17400,20100,1.2586206896551724,TRUE,0.8656716417910447
2005,Berlin,309178,1884101,2151,3184,80.11,0.3703,0,22200,17900,21000,1.2402234636871508,TRUE,0.8523809523809524
2006,Berlin,311329,1887285,2303,2781,81.5,0.3703,0,22500,17800,21000,1.2640449438202248,TRUE,0.8476190476190476
2007,Berlin,313632,1890066,2271,3330,84.54,0.3703,0,22900,18000,21400,1.272222222222222,TRUE,0.8411214953271028
2008,Berlin,315903,1893396,3642,5984,84.7,0.3703,0,23100,18200,21900,1.2692307692307692,TRUE,0.8310502283105022
2009,Berlin,319545,1899380,2974,5666,82.83,0.3703,0,23200,18400,22200,1.2608695652173914,TRUE,0.8288288288288288
2010,Berlin,322519,1905046,2924,6748,84.4,0.3703,0,24000,18900,22700,1.2698412698412698,TRUE,0.8325991189427313
2011,Berlin,325443,1911794,3144,6998,90.58,0.3703,0,24500,19200,23100,1.2760416666666667,TRUE,0.8311688311688312
2012,Berlin,328587,1918792,4130,8360,99.94,0.3703,0,24700,19700,23514,1.2538071065989849,FALSE,0.8377987581866122
2013,Berlin,332717,1927152,4020,9052,108.11,0.3703,0,20040,20028,23514,1.000599161174356,FALSE,0.8517478948711406
2014,Berlin,336737,1936204,4262,14138,118.25,0.3703,0,26244,20796,23514,1.2619734564339296,FALSE,0.8844092880836948
2015,Berlin,340999,1950342,4022,17408,128.88,0.3703,0,26520,21036,23514,1.2606959498003425,FALSE,0.894615973462618
2016,Berlin,345021,1967750,4434,21216,147.08,0.3703,0,28992,23232,23514,1.2479338842975207,FALSE,0.9880071446797652
2017,Berlin,349455,1988966,3886,25570,166.99,0.3703,0,30240,23988,23514,1.2606303151575788,TRUE,1.0201582036233734
2018,Berlin,353341,2014536,4202,28654,183.6,0.3703,0,31452,24864,23514,1.26496138996139,TRUE,1.057412605256443
2019,Berlin,357543,2043190,4288,33538,199.77,0.3703,0,32736,25704,23514,1.2735760971055088,TRUE,1.093136004082674
2020,Berlin,361831,2076728,3178,29408,213.81,0.3703,0,NA,NA,NA,NA,NA,NA
2021,Berlin,365009,2106136,3736,28268,233.44,0.3703,0,NA,NA,NA,NA,NA,NA
2022,Berlin,368745,2134404,3140,30736,239.56,0.3703,0,NA,NA,NA,NA,NA,NA
2023,Berlin,371885,2165140,2872,28862,211.24,0.3703,0,NA,NA,NA,NA,NA,NA
2024,Berlin,374757,2194002,3110,29230,204.48,0.3703,0,NA,NA,NA,NA,NA,NA
1995,Bonn,49524,146056,474,2055,106.73,0.472,0,NA,NA,NA,NA,NA,NA
1996,Bonn,49998,148111,353,1497,102.88,0.472,0,NA,NA,NA,NA,NA,NA
1997,Bonn,50351,149608,346,1514,100.35,0.472,0,NA,NA,NA,NA,NA,NA
1998,Bonn,50697,151122,321,1283,101.33,0.472,0,NA,NA,NA,NA,NA,NA
1999,Bonn,51018,152405,353,1663,103.77,0.472,0,NA,NA,NA,NA,NA,NA
