cities_clean,year,mean_income,median_income,germany_median,distance_internal,dist_increased_5y,dist_to_germany
Berlin,2000,21000,17400,15339,1.206896551724138,NA,1.1343633874437709
Bonn,2000,23100,19400,15339,1.190721649484536,NA,1.2647499837016756
Chemnitz,2000,18400,16200,15339,1.1358024691358024,NA,1.056131429689028
Dortmund,2000,22100,18500,15339,1.1945945945945946,NA,1.2060760153856183
Dresden,2000,20400,17900,15339,1.1396648044692737,NA,1.1669600365082469
Duisburg,2000,20700,18100,15339,1.143646408839779,NA,1.1799986961340374
Düsseldorf,2000,24900,20000,15339,1.245,NA,1.303865962579047
Erfurt,2000,20800,18300,15339,1.1366120218579234,NA,1.193037355759828
Frankfurt,2000,20300,17700,15339,1.1468926553672316,NA,1.1539213768824566
Hamburg,2000,24000,19500,15339,1.2307692307692308,NA,1.2712693135145707
Karlsruhe,2000,25200,21200,15339,1.1886792452830188,NA,1.3820979203337898
Köln,2000,22700,18900,15339,1.2010582010582012,NA,1.2321533346371993
Lübeck,2000,22300,18900,15339,1.17989417989418,NA,1.2321533346371993
München,2000,27000,21700,15339,1.2442396313364055,NA,1.4146945693982658
Münster,2000,24400,20600,15339,1.1844660194174756,NA,1.3429819414564184
Potsdam,2000,22200,19300,15339,1.150259067357513,NA,1.2582306538887802
Stuttgart,2000,26300,21700,15339,1.2119815668202765,NA,1.4146945693982658
Wiesbaden,2000,27500,22000,15339,1.25,NA,1.4342525588369515
Berlin,2001,21000,17400,19900,1.206896551724138,NA,0.8743718592964824
Bonn,2001,23100,19400,19900,1.190721649484536,NA,0.9748743718592965
Chemnitz,2001,18400,16200,19900,1.1358024691358024,NA,0.8140703517587939
Dortmund,2001,22100,18500,19900,1.1945945945945946,NA,0.9296482412060302
Dresden,2001,20400,17900,19900,1.1396648044692737,NA,0.8994974874371859
Duisburg,2001,20700,18100,19900,1.143646408839779,NA,0.9095477386934674
Düsseldorf,2001,24900,20000,19900,1.245,NA,1.0050251256281406
Erfurt,2001,20800,18300,19900,1.1366120218579234,NA,0.9195979899497487
Frankfurt,2001,20300,17700,19900,1.1468926553672316,NA,0.8894472361809045
Hamburg,2001,24000,19500,19900,1.2307692307692308,NA,0.9798994974874372
Karlsruhe,2001,25200,21200,19900,1.1886792452830188,NA,1.065326633165829
Köln,2001,22700,18900,19900,1.2010582010582012,NA,0.949748743718593
Lübeck,2001,22300,18900,19900,1.17989417989418,NA,0.949748743718593
München,2001,27000,21700,19900,1.2442396313364055,NA,1.0904522613065326
Münster,2001,24400,20600,19900,1.1844660194174756,NA,1.035175879396985
Potsdam,2001,22200,19300,19900,1.150259067357513,NA,0.9698492462311558
Stuttgart,2001,26300,21700,19900,1.2119815668202765,NA,1.0904522613065326
Wiesbaden,2001,27500,22000,19900,1.25,NA,1.1055276381909547
Berlin,2002,21300,17400,19966.666666666668,1.2241379310344827,NA,0.8714524207011686
Bonn,2002,24900,20033.333333333332,19966.666666666668,1.242928452579035,NA,1.003338898163606
Chemnitz,2002,18825,16650,19966.666666666668,1.1306306306306306,NA,0.833889816360601
Dortmund,2002,22300,18500,19966.666666666668,1.2054054054054053,NA,0.9265442404006677
Dresden,2002,20333.333333333332,17566.666666666668,19966.666666666668,1.1574952561669827,NA,0.8797996661101837
Duisburg,2002,21150,18400,19966.666666666668,1.1494565217391304,NA,0.9215358931552587
Düsseldorf,2002,25500,19900,19966.666666666668,1.2814070351758795,NA,0.9966611018363939
Erfurt,2002,20500,17900,19966.666666666668,1.1452513966480447,NA,0.8964941569282137
Frankfurt,2002,20033.333333333332,17200,19966.666666666668,1.1647286821705425,NA,0.8614357262103506
Hamburg,2002,24366.666666666668,19466.666666666668,19966.666666666668,1.2517123287671232,NA,0.9749582637729549
Karlsruhe,2002,24700,20533.333333333332,19966.666666666668,1.202922077922078,NA,1.028380634390651
Köln,2002,23400,19166.666666666668,19966.666666666668,1.2208695652173913,NA,0.9599332220367279
Lübeck,2002,22275,18800,19966.666666666668,1.184840425531915,NA,0.9415692821368947
München,2002,27333.333333333332,21700,19966.666666666668,1.2596006144393241,NA,1.0868113522537561
Münster,2002,24950,20600,19966.666666666668,1.2111650485436893,NA,1.031719532554257
Potsdam,2002,22033.333333333332,19033.333333333332,19966.666666666668,1.157618213660245,NA,0.9532554257095157
Stuttgart,2002,26800,21800,19966.666666666668,1.2293577981651376,NA,1.0918196994991651
Wiesbaden,2002,27366.666666666668,21833.333333333332,19966.666666666668,1.253435114503817,NA,1.0934891485809681
Berlin,2003,21600,17400,20033.333333333332,1.2413793103448276,NA,0.8685524126455907
Bonn,2003,26700,20666.666666666668,20033.333333333332,1.2919354838709676,NA,1.031613976705491
Chemnitz,2003,19250,17100,20033.333333333332,1.1257309941520468,NA,0.8535773710482529
Dortmund,2003,22500,18500,20033.333333333332,1.2162162162162162,NA,0.9234608985024959
Dresden,2003,20266.666666666668,17233.333333333332,20033.333333333332,1.1760154738878146,NA,0.8602329450915142
Duisburg,2003,21600,18700,20033.333333333332,1.1550802139037433,NA,0.9334442595673877
Düsseldorf,2003,26100,19800,20033.333333333332,1.3181818181818181,NA,0.9883527454242929
Erfurt,2003,20200,17500,20033.333333333332,1.1542857142857144,NA,0.8735440931780366
Frankfurt,2003,19766.666666666668,16700,20033.333333333332,1.183632734530938,NA,0.8336106489184693
Hamburg,2003,24733.333333333332,19433.333333333332,20033.333333333332,1.2727272727272727,NA,0.9700499168053245
Karlsruhe,2003,24200,19866.666666666668,20033.333333333332,1.2181208053691275,NA,0.9916805324459236
Köln,2003,24100,19433.333333333332,20033.333333333332,1.2401372212692967,NA,0.9700499168053245
Lübeck,2003,22250,18700,20033.333333333332,1.1898395721925135,NA,0.9334442595673877
München,2003,27666.666666666668,21700,20033.333333333332,1.2749615975422428,NA,1.0831946755407655
Münster,2003,25500,20600,20033.333333333332,1.2378640776699028,NA,1.0282861896838602
Potsdam,2003,21866.666666666668,18766.666666666668,20033.333333333332,1.1651865008880995,NA,0.9367720465890185
Stuttgart,2003,27300,21900,20033.333333333332,1.2465753424657535,NA,1.0931780366056574
Wiesbaden,2003,27233.333333333332,21666.666666666668,20033.333333333332,1.2569230769230768,NA,1.0815307820299502
Berlin,2004,21900,17400,20100,1.2586206896551724,TRUE,0.8656716417910447
Bonn,2004,28500,21300,20100,1.3380281690140845,TRUE,1.0597014925373134
Chemnitz,2004,19675,17550,20100,1.121082621082621,FALSE,0.8731343283582089
Dortmund,2004,22700,18500,20100,1.227027027027027,TRUE,0.9203980099502488
Dresden,2004,20200,16900,20100,1.1952662721893492,TRUE,0.8407960199004975
Duisburg,2004,22050,19000,20100,1.1605263157894736,TRUE,0.945273631840796
Düsseldorf,2004,26700,19700,20100,1.3553299492385786,TRUE,0.9800995024875622
Erfurt,2004,19900,17100,20100,1.1637426900584795,TRUE,0.8507462686567164
Frankfurt,2004,19500,16200,20100,1.2037037037037037,TRUE,0.8059701492537313
Hamburg,2004,25100,19400,20100,1.2938144329896908,TRUE,0.9651741293532339
Karlsruhe,2004,23700,19200,20100,1.234375,TRUE,0.9552238805970149
Köln,2004,24800,19700,20100,1.2588832487309645,TRUE,0.9800995024875622
Lübeck,2004,22225,18600,20100,1.1948924731182795,TRUE,0.9253731343283582
München,2004,28000,21700,20100,1.2903225806451613,TRUE,1.0796019900497513
Münster,2004,26050,20600,20100,1.2645631067961165,TRUE,1.0248756218905473
Potsdam,2004,21700,18500,20100,1.172972972972973,TRUE,0.9203980099502488
Stuttgart,2004,27800,22000,20100,1.2636363636363637,TRUE,1.0945273631840795
Wiesbaden,2004,27100,21500,20100,1.2604651162790699,TRUE,1.0696517412935322
Berlin,2005,22200,17900,21000,1.2402234636871508,TRUE,0.8523809523809524
Bonn,2005,30600,23400,21000,1.3076923076923077,TRUE,1.1142857142857143
Chemnitz,2005,20100,18000,21000,1.1166666666666667,FALSE,0.8571428571428571
Dortmund,2005,23700,19300,21000,1.2279792746113989,TRUE,0.919047619047619
Dresden,2005,20200,16600,21000,1.216867469879518,TRUE,0.7904761904761904
Duisburg,2005,22500,19300,21000,1.16580310880829,TRUE,0.919047619047619
Düsseldorf,2005,27400,20600,21000,1.3300970873786409,TRUE,0.9809523809523809
Erfurt,2005,20800,17400,21000,1.1954022988505748,TRUE,0.8285714285714286
Frankfurt,2005,19100,15700,21000,1.21656050955414,TRUE,0.7476190476190476
Hamburg,2005,24900,20100,21000,1.2388059701492538,TRUE,0.9571428571428572
Karlsruhe,2005,25300,20800,21000,1.2163461538461537,TRUE,0.9904761904761905
Köln,2005,25300,20000,21000,1.265,TRUE,0.9523809523809523
Lübeck,2005,22200,18500,21000,1.2,TRUE,0.8809523809523809
München,2005,29400,22900,21000,1.2838427947598254,TRUE,1.0904761904761904
Münster,2005,26600,20600,21000,1.2912621359223302,TRUE,0.9809523809523809
Potsdam,2005,22000,17700,21000,1.2429378531073447,TRUE,0.8428571428571429
Stuttgart,2005,28000,22300,21000,1.2556053811659194,TRUE,1.061904761904762
Wiesbaden,2005,28400,22300,21000,1.2735426008968609,TRUE,1.061904761904762
Berlin,2006,22500,17800,21000,1.2640449438202248,TRUE,0.8476190476190476
Bonn,2006,30100,23000,21000,1.308695652173913,TRUE,1.0952380952380953
Chemnitz,2006,20200,17900,21000,1.1284916201117319,FALSE,0.8523809523809524
Dortmund,2006,23400,19100,21000,1.225130890052356,TRUE,0.9095238095238095
Dresden,2006,20300,16600,21000,1.2228915662650603,TRUE,0.7904761904761904
Duisburg,2006,22700,19200,21000,1.1822916666666667,TRUE,0.9142857142857143
Düsseldorf,2006,27200,20600,21000,1.3203883495145632,TRUE,0.9809523809523809
Erfurt,2006,20500,17200,21000,1.191860465116279,TRUE,0.819047619047619
Frankfurt,2006,19300,15800,21000,1.2215189873417722,TRUE,0.7523809523809524
Hamburg,2006,25700,20300,21000,1.2660098522167487,TRUE,0.9666666666666667
Karlsruhe,2006,25600,20900,21000,1.2248803827751196,TRUE,0.9952380952380953
Köln,2006,25300,19800,21000,1.2777777777777777,TRUE,0.9428571428571428
Lübeck,2006,22200,18400,21000,1.2065217391304348,TRUE,0.8761904761904762
München,2006,29700,22900,21000,1.296943231441048,TRUE,1.0904761904761904
Münster,2006,27100,20900,21000,1.2966507177033493,TRUE,0.9952380952380953
Potsdam,2006,22000,17700,21000,1.2429378531073447,TRUE,0.8428571428571429
Stuttgart,2006,28000,22100,21000,1.2669683257918551,TRUE,1.0523809523809524
Wiesbaden,2006,28800,22600,21000,1.2743362831858407,TRUE,1.0761904761904761
Berlin,2007,22900,18000,21400,1.2722222222222221,TRUE,0.8411214953271028
Bonn,2007,31000,23500,21400,1.3191489361702127,TRUE,1.0981308411214954
Chemnitz,2007,20400,17800,21400,1.146067415730337,TRUE,0.8317757009345794
Dortmund,2007,23900,19500,21400,1.2256410256410257,TRUE,0.9112149532710281
Dresden,2007,20600,16900,21400,1.2189349112426036,TRUE,0.7897196261682243
Duisburg,2007,22800,19200,21400,1.1875,TRUE,0.897196261682243
Düsseldorf,2007,27600,21100,21400,1.3080568720379147,FALSE,0.985981308411215
Erfurt,2007,20700,17300,21400,1.1965317919075145,TRUE,0.8084112149532711
Frankfurt,2007,19600,16300,21400,1.2024539877300613,TRUE,0.7616822429906542
Hamburg,2007,26400,20900,21400,1.263157894736842,FALSE,0.9766355140186916
Karlsruhe,2007,26400,21200,21400,1.2452830188679245,TRUE,0.9906542056074766
Köln,2007,26200,20400,21400,1.2843137254901962,TRUE,0.9532710280373832
