year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany,income,interpolated,grow5_index_ann,grow5_hu_ann,p_q5,growth5sum,inelasticity_cutoff,demand_cutoff,inelasticity_cutoff_lag,demand_cutoff_lag,p_q5_lag,growth5sum_lag,superstar,growth_window
1995,Berlin,276583,1770346,3036,13264,118.4,0.3703,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Bonn,49524,146056,474,2055,106.73,0.472,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Chemnitz,26649,154189,287,1017,118.97,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Dortmund,82287,288305,478,2280,108.15,0.6583,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Dresden,45351,255155,698,4804,121.33,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Duisburg,73447,248968,621,2112,104.29,0.6479,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Düsseldorf,64014,305959,8192,24016,109.31,0.5091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Erfurt,21181,104022,540,1437,119.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Frankfurt,66339,325982,256,1720,113.79,0.4497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Hamburg,218380,823926,1648,7071,109.97,0.535,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Karlsruhe,511226,1166878,7390,24035,123.5,0.2478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Köln,119775,479164,10389,30433,110.79,0.7003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Lübeck,38111,107459,308,1260,124.71,0.1959,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,München,121768,674607,1754,7816,111.45,0.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Münster,42893,124850,7972,17951,105.66,0.3931,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Potsdam,11581,64963,1298,3703,142.8,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Stuttgart,749134,1658137,9045,31539,121.72,0.2979,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,Wiesbaden,33816,129037,129,764,118.55,0.2235,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,Berlin,279619,1783610,3946,20179,110.62,0.3703,0,15500,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,Bonn,49998,148111,353,1497,102.88,0.472,0,16800,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,Chemnitz,26936,155206,513,2546,119.64,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,Dortmund,82765,290585,579,2233,103.21,0.6583,0,15400,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,Dresden,46049,259959,925,7427,115.13,0.6,1,15500,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,Duisburg,74068,251080,512,1457,107.13,0.6479,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
