city,buildings_1939,destroyed_buildings,destroyed_share_1939,east_germany
Berlin,1502383,556500,0.3703,0
Hamburg,552484,295654,0.5350,0
München,248463,82000,0.3300,0
Köln,252121,176600,0.7003,0
Dortmund,160252,105500,0.6583,0
Frankfurt,179130,80575,0.4497,0
Stuttgart,141427,42126,0.2979,0
Düsseldorf,169911,86500,0.5091,0
Duisburg,126558,82000,0.6479,0
Bochum,91451,47500,0.5195,0
Lübeck,45593,8930,0.1959,0
Kiel,76989,44700,0.5806,0
Wiesbaden,55288,12355,0.2235,0
Karlsruhe,56295,13950,0.2478,0
Bonn,30087,14200,0.4720,0
Münster,33575,13200,0.3931,0
Bocholt,8423,7493,0.8896,0
Chemnitz,,,0.25,1
Dresden,,,0.60,1
Potsdam,,,0.20,1
Leipzig,,,0.25,1
