DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Austria,1995,13971.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Austria,1996,14811.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Austria,1997,14375.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Austria,1998,14217.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Austria,1999,14379.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Austria,2000,15116.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Austria,2001,15288.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Austria,2004,27913.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Austria,2008,29849.10,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Wien (greater city),1999,26110.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Wien (greater city),2004,26544.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Wien (greater city),2008,25549.20,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Belgium,1995,13388.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Belgium,1996,14111.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Belgium,1997,14086.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Belgium,1998,14013.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Belgium,1999,14200.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Belgium,2000,14768.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Belgium,2001,15492.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Belgium,2004,18139.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Belgium,2011,28049.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Belgium,2017,22733.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Belgium,2018,23686.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Bruxelles/Brussel (greater city),1996,16484.91,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Bruxelles/Brussel (greater city),2000,17476.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Bruxelles/Brussel (greater city),2004,15927.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Antwerpen (greater city),1996,16628.69,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Antwerpen (greater city),2000,16777.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Antwerpen (greater city),2004,17393.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Gent,1996,17702.07,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Gent,2000,17669.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Gent,2004,17612.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Charleroi (greater city),1996,15255.36,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Charleroi (greater city),2000,15445.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Charleroi (greater city),2004,14051.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Liège (greater city),1996,15889.97,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Liège (greater city),2000,16748.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Liège (greater city),2001,1690302.00,,
ESTAT:URB_CLIVCON(1.0),09/02/26 23:00:00,Annual,Median disposable annual household income - EUR,Liège (greater city),2004,15524.00,,
